store_id,name_salon,slncatch,star,review_salon,pop_score,price,seats,access,link_detail
slnH000736729,CLARIS福井大和田店 髪質改善/レイヤーカット/ダブルカラー/メンズカット,【NewOpen★大和田エルパ近く】ナチュラルな抜け感＋トレンドstyleが叶うサロン。当日予約◎口コミ高評価◎,4.82,132.0,23.571482798028853,4700.0,5.0,福井注目サロン！大和田Lpaより徒歩3分　韓国/髪質改善／レイヤー【福井市/大和田】,https://beauty.hotpepper.jp/slnH000736729/
slnH000368018,HAIR ALEN,[完全キャッシュレス]  ダメージに負けない理想のスタイルを叶えます☆,4.62,68.0,19.56157205123934,,5.0,"日華化学前駅徒歩8分[髪質改善,縮毛矯正,トリートメント,ヘッドスパ,インナーカラー]",https://beauty.hotpepper.jp/slnH000368018/
slnH000316574,citron 【シトロン】,【HPB AWARD BEST SALON】2022 2024GOLD Prize受賞 2019～2021 2023 2025 2026SILVER Prize受賞,4.73,125.0,22.875613419880494,,4.0,フレンドマート近く！     福井駅からクルマで10分  越前開発駅から徒歩5分,https://beauty.hotpepper.jp/slnH000316574/
slnH000476673,Maison Sheer,【実力派×本物の技術】『トレンド×似合わせ』に絶対の自信◎福井でお洒落な空間でお洒落なヘアスタイルに,4.8,93.0,21.807814954896017,4950.0,8.0,福井駅から車で15分,https://beauty.hotpepper.jp/slnH000476673/
slnH000603671,Agu hair Luz 北四ツ居店【アグ ヘアー ルース】,【北四ツ居】口コミ人気で年間予約数NO.1Group★カット+カラー￥3900♪N.・TOKIO/6～7月限定クーポン有☆,4.66,355.0,27.37717720577046,2200.0,6.0,「福井口駅」徒歩19分「新福井駅」車5分「越前開発駅」徒歩18分,https://beauty.hotpepper.jp/slnH000603671/
slnH000634496,O'sea 新保店 【オーシー】,《7月限定クーポン有り》個室空間でトレンドヘア◎髪質改善/ハイトーン/メンズ/学割有◎当日直前予約OK,4.7,308.0,26.946704001419405,,6.0,愛育病院、心臓センター前,https://beauty.hotpepper.jp/slnH000634496/
slnH000625169,coto　福井大和田店　髪質改善トリートメント&ハイトーンカラー,【エルパ隣/駐車場完備◎】新規様限定60％OFF。福井初導入の髪質改善UPTOGLOSS+CUT＋COLOR 21800円→9900円,4.8,1133.0,33.760831124580946,5000.0,9.0,【駐車場◎】エルパ徒歩1分　[髪質改善レイヤーカット/顔周りレイヤーボブ/韓国風],https://beauty.hotpepper.jp/slnH000625169/
slnH000728255,ADER HAIR SALON 森田店【アーダーヘアサロン】,ヘアーを熟知した実力派stylist集結サロン◎【カット+カラー+TR￥5500】 TOKIO &イルミナカラー取扱いサロン,4.72,1014.0,32.674879167766186,2500.0,5.0,「福井駅」から車で20分　ヤスサキワイプラザグルメ館森田店さんの向かい側,https://beauty.hotpepper.jp/slnH000728255/
slnH000724261,Kaguya hair salon大和田店【カグヤヘアーサロン】,《１０月１日エルパ近くNEWOPEN》切った瞬間なじむ再現性のあるカット技術◎【カット+カラー+TR￥5300】,4.55,1104.0,31.88458279348093,2500.0,6.0,【駐車場完備】エルパ徒歩3分/24時間フィットイージーさんとボナファイドジムさんの隣,https://beauty.hotpepper.jp/slnH000724261/
slnH000213215,ＶＡＮ　ＣＯＵＮＣＩＬ　福井開発店　【ヴァンカウンシル】,『上質×艶のある髪へ..。美しい発色と滑らかな艶髪へ導きます《低刺激・低ダメージオーガニックカラー》,4.57,198.0,24.19040304899093,4500.0,12.0,京福バス開発2丁目下車徒歩3分/フレンドマート前,https://beauty.hotpepper.jp/slnH000213215/
